GM,TSLA,YNDX
16.299799,28.08,19.74
16.377232,27.709999,19.15
17.167059,27.120001,19.290001
17.747812,26.91,18.610001
17.685862,27.25,18.73
17.995596,27.620001,18.860001
18.94803,28.23,19.200001
19.102901,28.25,19.049999
18.808653,22.790001,18.6
18.738966,26.6,18.299999
18.979008,26.809999,18.52
19.219051,26.76,18.75
19.358431,26.6,18.74
19.296488,26.77,18.440001
19.195822,27.42,18.719999
19.296488,27.969999,19.790001
19.141615,28.940001,20.889999
18.870598,29.33,20.700001
18.762188,29.57,20.24
18.599579,29.07,20.34
18.870598,29.58,20.65
18.824135,30.25,21.389999
20.272152,31.15,21.82
20.674807,31.799999,21.5
20.303123,31.6,21.5
19.939188,31.93,21.9
19.93144,32.580002,22.139999
19.745598,31.1,21.27
19.621706,31.49,20.940001
19.668163,33.169998,21.5
19.304226,33.599998,21.57
21.03874,34.18,21.709999
21.170383,34.970001,22.059999
20.953562,34.5,23.57
20.558653,34.220001,22.629999
20.744495,34.529999,22.969999
20.186968,33.75,22.700001
20.488966,33.619999,22.16
20.241179,33.810001,22.01
20.148256,33.41,21.299999
20.496706,34.41,21.6
20.48122,34.040001,23.26
20.132767,33.77,23.190001
19.033211,33.110001,23.129999
19.265512,33.119999,23.139999
19.706886,33.07,23.950001
19.838526,34.740002,23.469999
19.660421,36.009998,22.940001
20.186968,36.09,23.5
20.380556,35.290001,24.1
20.171482,35,23.969999
19.799809,35.32,24.68
19.660421,34.98,24.49
19.428122,34.959999,24.030001
19.582989,35.150002,24.209999
19.39715,34.400002,23.75
19.490067,34.080002,24.01
19.807545,37.400002,24.280001
19.629454,37.939999,24.950001
19.474583,37.849998,25
19.598475,37.330002,25.35
19.861748,37.240002,26.870001
20.721268,36.580002,27.01
19.776573,38.009998,26.67
19.435862,35,26.040001
19.211304,34.48,26.620001
18.738966,33.150002,26.6
18.359537,32.459999,25.57
18.607323,33.09,26.25
18.816395,33.439999,26.57
18.429222,33.59,26.559999
18.134977,32.25,26.459999
18.615068,32.240002,27.129999
18.700247,32.66,26.91
18.591839,33.16,27.299999
18.274361,33.16,26.65
17.771038,31.940001,25.84
17.724577,31.82,24.540001
18.049801,32.91,24.540001
18.367279,33.490002,23.370001
18.220156,33.34,24.690001
17.809759,33.130001,23.719999
18.049801,33.779999,23.92
17.755552,33.939999,24.08
17.321924,32.459999,23.93
17.314184,31.83,23.35
17.352896,32.470001,22.57
17.213516,30.190001,21.82
17.376129,30.059999,21.799999
17.321924,32.959999,21.93
17.035419,32.25,22.4
16.748919,30.059999,21.530001
16.586308,29.43,21.469999
16.965731,29.18,22.18
16.733431,28.57,21
16.400461,27.559999,20.469999
16.679226,28.77,21.25
16.648249,30.799999,21.16
17.136084,31.02,20.92
17.066395,30.280001,20.280001
17.376129,29.809999,20.450001
17.693604,31.690001,21.049999
17.321924,30.41,20.42
17.190289,29.5,19.93
17.043163,28.15,18.49
16.346258,27.879999,19.08
16.454666,27.91,18.950001
16.903784,29.219999,18.790001
16.91927,28.93,18.879999
17.074137,30.08,18.950001
16.973471,29.120001,17.709999
17.167059,29.66,17.43
16.934759,29.77,17.18
16.880548,29.389999,16.66
16.834095,29.91,17.559999
16.594044,31.84,18.559999
16.834095,32.09,18.809999
16.632761,33.779999,18.559999
15.982321,32.189999,17.74
15.951349,33.790001,17.83
15.417055,33.110001,17.309999
15.370594,31.610001,17.370001
15.223468,31.959999,17.860001
15.347367,31.41,17.940001
15.269932,31.290001,19.049999
15.153781,30.4,18.969999
16.00555,30.66,19.27
15.904891,31.23,20.25
15.726789,30.99,18.9
15.657095,31.49,18.85
15.331879,31.27,18.35
15.40931,31.51,18.41
14.967939,32.700001,18.299999
15.192499,34.25,18.559999
15.006657,35.959999,17.84
15.177007,33.349998,18.01
15.540946,32.150002,18.690001
15.595152,32.27,19.450001
14.991171,31.790001,18.969999
14.94471,30.66,18.540001
14.727897,29.84,18.82
14.557546,28.950001,19
14.797585,28.129999,19
15.231213,29.51,20.219999
14.991171,27.35,20.83
15.262187,27.42,19.23
15.223468,26.25,19.74
14.820811,26.1,19.25
15.517718,27.27,20.469999
15.370594,28.27,21.33
15.811965,30.25,20.860001
15.780991,29.09,21.110001
15.990065,29.41,20.9
15.904891,29.940001,20.620001
15.850682,31.17,20.4
15.649354,29.42,20.200001
15.595152,29.4,20.129999
16.516615,30.299999,21.459999
17.043163,30.01,21.24
16.934759,29.51,20.889999
16.748919,29.110001,21.1
16.826351,29.950001,21.18
16.524357,30.73,20.99
16.400461,29.5,20.940001
16.431435,28.32,20.77
16.214628,28.690001,21.17
16.493383,28.41,21.110001
16.346258,28.41,20.41
16.532104,28.52,21.120001
16.501122,28.139999,21.299999
16.849581,27.940001,21.74
17.383873,28.549999,22.51
18.09626,29.35,22.950001
17.794271,27.370001,22.639999
17.786531,27.799999,22.49
17.910421,28.280001,23.4
18.220156,29.48,24.07
18.692503,30.389999,24.719999
18.429222,32.540001,24.91
18.917057,31.34,25.059999
19.16485,31.049999,24.83
18.909313,30.9,24.76
19.203564,30.02,24.49
18.862852,30.66,24.139999
18.212414,27.66,23.870001
18.111746,27.540001,23.35
17.949142,28.49,23.34
17.616173,29.280001,24.15
17.879448,29.16,24.440001
18.336308,29.799999,24.6
18.886084,29.299999,24.639999
19.08741,29.4,24.780001
19.203564,28.889999,24.200001
19.025465,29.25,24.139999
18.870598,28.370001,23.549999
18.762188,28.4,23.389999
19.09516,28.32,23.26
18.924803,27.639999,23.280001
18.955776,27.33,22.93
19.195822,28.059999,23.09
19.404892,28.82,22.93
19.792059,28.040001,22.41
19.040953,27.74,22.24
19.064188,27.85,22.25
18.483433,28.389999,22.15
18.344051,27.42,21.969999
18.29759,27.52,22.74
18.026566,27.379999,23.07
19.745598,28.129999,23.309999
19.884981,29.25,23
19.97016,28.92,22.77
19.799809,31.5,22.459999
20.27989,31.15,22.17
19.38166,31.540001,21.16
19.141615,31.309999,20.799999
19.389406,30.32,21.110001
19.559759,31.07,21.299999
19.219051,31.610001,20.860001
18.715731,31.379999,21.27
18.491175,30.82,21.049999
18.467937,31.84,21.530001
19.304226,32.919998,22.17
19.048697,33,22.540001
19.048697,32.470001,22.459999
19.521046,32.130001,22.440001
19.536528,32.27,22.01
19.366177,32.150002,22.1
19.575247,33.23,22.08
20.202456,33.689999,22.219999
20.039848,33.82,21.82
19.753344,34.619999,21
19.675911,33.900002,20.620001
19.358431,33.709999,20.940001
19.025465,33.900002,21.98
19.505558,34.169998,22.959999
19.575247,34.57,23
19.706886,35.279999,21.440001
19.846266,35.259998,21.360001
19.451347,33.610001,21.950001
19.056438,33.810001,21.370001
19.242283,34.400002,21.66
19.737854,34.59,21.58
21.046488,34.610001,22.01
21.170383,34.43,22.32
21.154888,34,22.15
21.418165,34.279999,22.01
21.387197,33.59,22
21.650469,33.689999,21.940001
21.565294,33.220001,21.75
22.324142,33.869999,21.540001
22.556442,35.360001,23
23.09074,34.77,23.280001
23.121714,34.400002,23.24
22.966845,34.34,23.26
22.742287,33.68,23.16
23.20689,33.639999,23.360001
23.570829,33.529999,23.440001
23.508879,32.91,23.120001
23.485647,33.259998,23.290001
23.694719,33.900002,23.389999
22.695822,34.099998,22.959999
22.835207,34.380001,22.870001
22.672596,34.52,22.860001
22.169275,35.189999,22.709999
22.122816,36,22.75
22.285433,36.990002,23.200001
22.509987,36.98,23.950001
22.324142,38.029999,24
22.029896,37.950001,24.1
21.634989,37.52,23.51
21.751131,37.509998,24.209999
21.81308,38.299999,24.700001
21.650469,37.740002,24.24
22.1383,38.130001,23.93
22.084099,39.169998,24.33
22.045382,39.48,24.5
22.122816,39.240002,24.709999
22.091841,38.419998,24.93
22.107328,37.889999,24.98
22.200245,38.450001,25.02
21.487858,38.27,25.66
21.495604,37.040001,25.59
21.433653,39.279999,23.01
20.984535,38.540001,23.76
20.527679,35.16,23.1
20.992279,36.110001,23.6
20.3883,34.380001,24.08
20.775471,34.43,23.76
21.216843,35.099998,23.940001
21.023256,34.830002,23.190001
21.069717,34.650002,23.25
20.976797,35.580002,23.309999
21.35622,36.650002,24.299999
21.611752,37.689999,24.24
21.588524,38.23,24.42
21.681444,38.470001,24.92
21.921486,39.099998,25.030001
21.967951,39.119999,23.030001
21.735645,38.98,24.08
21.805338,36.849998,23.84
21.844051,35.290001,23.57
21.712416,35.150002,22.82
21.758875,35.080002,22.530001
22.610647,35.950001,22.790001
22.169275,36.009998,22.549999
21.851793,36.619999,22.809999
21.805338,37.529999,22.889999
21.797594,37.860001,22.879999
21.727901,38.16,23.459999
21.542068,37.889999,23.139999
21.526573,43.93,22.860001
21.627239,44.34,23.34
21.526573,41.099998,23.129999
21.480114,42.009998,22.84
21.309755,41.369999,22.77
21.363966,41.830002,22.709999
21.317507,40.5,22.709999
21.967951,41.860001,22.85
23.013302,43.59,22.74
22.935869,43.75,22.530001
22.386091,43.299999,20.4
22.819717,45.59,20.959999
22.66485,45.450001,20.5
22.440296,46.970001,20.59
22.57193,47.830002,20.1
22.649366,50.189999,20.07
23.113966,51.009998,20.360001
23.578568,50.43,21.450001
23.779894,52,24.940001
23.617285,51.200001,25.08
23.841843,54.939999,25.76
23.880558,53.990002,25.74
23.369499,53.279999,25.360001
24.128347,54.110001,25.860001
24.856224,54.549999,25.85
24.63941,59.5,26.15
24.507774,55.509998,26.9
24.840734,55.790001,27.02
24.507774,69.400002,26.940001
24.329674,76.760002,26.709999
24.004457,87.800003,26.4
24.430338,83.239998,26.780001
25.018833,84.839996,27.219999
25.080786,92.25,28.02
25.878349,91.5,29.01
26.095163,89.940002,29.26
25.862869,87.589996,28.85
25.73123,87.239998,27.74
25.436979,92.730003,27.219999
25.452467,97.080002,27.040001
26.296494,110.330002,26.9
26.36618,104.629997,26.93
26.823042,104.949997,27.370001
26.242289,97.760002,27.16
26.652685,92.589996,26.99
27.070831,94.839996,26.49
26.342955,95.370003,25.98
26.668175,97.349998,26.190001
27.125044,102.040001,27.08
26.900475,100.050003,26.67
26.273266,94.470001,26.07
25.901581,97.730003,26.01
26.714636,98.18,26.469999
26.552031,100.300003,26.52
26.118393,102.199997,27.299999
26.335213,103.389999,27.639999
26.06419,104.68,27.15
25.212423,100.650002,25.98
24.941402,99.550003,26.41
24.329674,101.489998,26
24.63941,102.400002,26.76
25.204678,105.720001,27.42
25.630564,109.25,27.219999
25.793171,107.360001,27.65
26.327471,117.18,28.059999
26.4049,117.82,27.700001
26.435873,115.239998,27.49
26.846277,120.089996,27.549999
26.823042,121.610001,28
27.039848,123.449997,28.34
27.35733,122.269997,29.49
27.984547,125.610001,30.389999
28.185881,129.899994,30.75
28.263306,127.260002,30.780001
28.015524,109.050003,29.559999
28.154894,120.25,31.059999
28.52659,119.029999,30.860001
28.348494,119.68,31.200001
28.464645,122.43,31.459999
28.348494,122.739998,31.450001
28.758884,121.699997,30.860001
28.712427,124.07,31.809999
28.394949,129.389999,33.419998
28.170393,134.619995,31.99
28.263306,131.740005,32.48
27.775475,134.279999,32.509998
28.240082,135.550003,33.720001
28.611765,138,33.779999
28.456896,144.679993,33.5
27.845169,142.149994,33.349998
27.47349,134.229996,32.759998
27.883886,153.479996,33
27.891634,153,33.040001
27.860653,147.380005,32.68
27.752239,145.429993,33.200001
27.543175,139.360001,33.700001
26.753355,139.669998,33
26.621714,142,33.119999
26.70689,144.899994,32.380001
26.939194,149.580002,32.77
26.737862,147.860001,32.73
27.094067,157.100006,33.299999
27.148264,161.839996,33.439999
27.039848,164.220001,33.240002
26.087421,167.009995,32.139999
26.265518,166.449997,32.41
26.675924,166.059998,32.009998
26.389408,169,32
26.435873,168.940002,32.02
27.759995,170.619995,32.98
28.131676,169.929993,34.669998
27.992296,166.970001,34.240002
28.247822,160.699997,35.169998
28.650475,166.369995,35
28.14716,163.520004,34.5
28.162638,164.929993,34.400002
27.922606,165.539993,34.380001
28.046482,166.580002,34.91
28.425922,166.229996,35.189999
29.099594,166.220001,36.220001
28.828569,177.919998,37.93
28.518841,183.389999,36.59
28.751141,181.110001,36.689999
28.991186,182.330002,37.48
28.789862,185.240005,36.869999
28.611765,188.639999,37.360001
28.162638,190.899994,36.799999
27.852913,193.369995,36.419998
27.806442,193,37.84
27.829676,180.949997,37.75
27.326365,173.309998,38.380001
27.643847,180.979996,38.349998
27.24118,183.070007,37.439999
26.490078,174.729996,35.540001
26.451363,168.779999,36.16
26.985661,172.929993,38.529999
27.372816,178.699997,38.330002
27.35733,179.720001,38.360001
26.869509,183.940002,38.59
27.202467,183.559998,39.310001
27.612871,182.800003,39.220001
27.79097,183.399994,40.810001
27.48897,172.600006,41.040001
27.419281,171.539993,40.669998
27.140522,164.5,41
27.589636,173.149994,40.790001
27.558662,169.660004,38.189999
27.721277,162.860001,38.16
27.922606,164.470001,37.790001
28.828569,159.220001,37.310001
28.611765,159.940002,36.860001
28.952469,162.169998,38.029999
29.014418,175.199997,37.709999
28.720163,176.809998,37.52
28.333002,151.160004,38.27
27.814194,139.770004,36.09
28.387199,137.949997,36.349998
28.402693,144.699997,36.799999
28.387199,137.800003,36.310001
29.765524,138.699997,37.09
29.811987,137.600006,38.639999
30.021057,135.449997,38.529999
29.866186,121.580002,38.779999
29.432552,126.089996,36.970001
29.184765,121.110001,36.150002
29.517735,122.099998,38
29.138313,121.379997,38.470001
29.076359,120.839996,38.73
29.169279,120.5,39.889999
30.083008,126.940002,39.610001
29.990082,127.279999,39.75
30.284321,124.169998,40.07
29.533228,144.699997,39.849998
29.974594,138.949997,40.099998
30.268843,140.479996,40.970001
31.105127,137.360001,39.939999
31.670395,141.600006,39.84
31.28322,142.190002,39.919998
31.097385,139.649994,37.419998
31.012213,147.470001,38.16
31.004467,147.649994,38.209999
32.088539,147.940002,38.330002
32.158218,152.460007,38.389999
31.956905,147.979996,39.330002
31.205784,140.720001,39.68
31.740088,143.240005,40.290001
31.97238,143.550003,41.849998
31.654909,151.410004,41.880001
32.150478,155.5,42.939999
31.701365,151.119995,42.580002
31.507784,152.440002,42.169998
31.647161,150.429993,43.150002
31.709108,150.100006,42.630001
30.640522,149.559998,42.900002
31.28322,147,42.91
31.128359,149.360001,43.529999
31.298708,151.279999,42.25
31.352921,147.529999,44.220001
30.996714,145.720001,44
30.648268,139.339996,42.650002
30.988974,161.270004,43.779999
30.493404,164.130005,43.360001
30.199152,170.970001,43.759998
29.88942,170.009995,43.02
29.688091,176.679993,43.66
30.044285,178.559998,42.689999
29.75004,181.5,40.869999
28.518841,174.600006,38.02
28.464645,169.619995,37.220001
28.503355,178.380005,37.68
28.14716,175.229996,35.34
28.52659,182.839996,36.939999
27.938091,181.410004,36.75
27.295397,177.110001,35.009998
27.736757,178.729996,36.279999
27.287645,174.419998,36.669998
27.279896,178.380005,38.639999
27.961317,186.529999,39.259998
27.02437,196.559998,39.450001
27.295397,196.619995,40.169998
27.535433,195.320007,40.389999
27.256672,199.630005,40.290001
27.837425,198.229996,40.290001
28.11619,203.699997,41.209999
27.899374,193.639999,39.830002
28.271046,209.970001,37.290001
